,dataset,vectorizer,reduction,original dimensions,reduced_dimensions,quantum encoding,num_qubits,accuracy_train,accuracy_val,accuracy_test,bias
0,lambeq,wv,PCA,"(130, 100)","(130, 12)",amplitude,4,0.8589743589743589,0.6153846153846154,0.7307692307692307,-0.23425310496549648
1,lambeq,wv,PCA,"(130, 100)","(130, 12)",dc,4,0.782051282051282,0.8076923076923077,0.8846153846153846,-0.053831980491459874
2,lambeq,wv,TSNE,"(130, 100)","(130, 2)",amplitude,1,0.6282051282051282,0.6923076923076923,0.5769230769230769,-0.3351593217277543
3,lambeq,wv,TSNE,"(130, 100)","(130, 2)",dc,1,0.6025641025641025,0.6538461538461539,0.5384615384615384,-0.5021519106740036
4,lambeq,wv,UMAP,"(130, 100)","(130, 2)",amplitude,1,0.9358974358974359,0.8846153846153846,0.9615384615384616,0.07713625840444792
5,lambeq,wv,UMAP,"(130, 100)","(130, 2)",dc,1,0.8205128205128205,0.9230769230769231,0.7307692307692307,-0.240084938267208
6,lambeq,wv,NONE,"(130, 100)","(130, 100)",amplitude,8,0.9358974358974359,0.9615384615384616,0.9615384615384616,-0.08296825020798589
7,lambeq,spacy,PCA,"(130, 300)","(130, 11)",amplitude,4,0.6794871794871795,0.8461538461538461,0.6153846153846154,0.04938241897266085
8,lambeq,spacy,PCA,"(130, 300)","(130, 11)",dc,4,0.6794871794871795,0.7307692307692307,0.6923076923076923,0.08159024179888492
9,lambeq,spacy,TSNE,"(130, 300)","(130, 2)",amplitude,1,0.5897435897435898,0.6538461538461539,0.6923076923076923,-0.8289726677576827
10,lambeq,spacy,TSNE,"(130, 300)","(130, 2)",dc,1,0.6538461538461539,0.6923076923076923,0.6923076923076923,-0.138841339921638
11,lambeq,spacy,UMAP,"(130, 300)","(130, 2)",amplitude,1,1.0,1.0,1.0,0.003205195799364983
12,lambeq,spacy,UMAP,"(130, 300)","(130, 2)",dc,1,0.9358974358974359,1.0,0.9230769230769231,-0.06357003390957164
13,lambeq,spacy,NONE,"(130, 300)","(130, 300)",amplitude,16,0.9615384615384616,1.0,1.0,0.07236622708536405
14,amazon,wv,PCA,"(200, 100)","(200, 26)",amplitude,8,0.575,0.625,0.55,0.007389616782459304
15,amazon,wv,TSNE,"(200, 100)","(200, 2)",amplitude,1,0.475,0.55,0.575,0.16825341652105358
16,amazon,wv,TSNE,"(200, 100)","(200, 2)",dc,1,0.5416666666666666,0.525,0.6,0.18720332353472335
17,amazon,wv,UMAP,"(200, 100)","(200, 2)",amplitude,1,0.475,0.6,0.575,0.3185048059883754
18,amazon,wv,UMAP,"(200, 100)","(200, 2)",dc,1,0.5083333333333333,0.6,0.725,0.9905491084296858
19,amazon,wv,NONE,"(200, 100)","(200, 100)",amplitude,8,0.575,0.7,0.425,0.01622000391160073
20,amazon,spacy,PCA,"(200, 300)","(200, 66)",amplitude,8,0.5416666666666666,0.65,0.6,-0.012834015489483971
21,amazon,spacy,TSNE,"(200, 300)","(200, 2)",amplitude,1,0.55,0.625,0.5,0.20324978937199292
22,amazon,spacy,TSNE,"(200, 300)","(200, 2)",dc,1,0.475,0.575,0.55,0.2608535792962667
23,amazon,spacy,UMAP,"(200, 300)","(200, 2)",amplitude,1,0.6166666666666667,0.625,0.625,0.5453825448587412
24,amazon,spacy,UMAP,"(200, 300)","(200, 2)",dc,1,0.5833333333333334,0.75,0.625,-0.9437049041185543
25,amazon,spacy,NONE,"(200, 300)","(200, 300)",amplitude,16,0.6166666666666667,0.7,0.575,0.23300216392845724
